baseline_commit,old_file,old_file_lines,definition,start_line,end_line,definition_lines
4c6d7b6,app/agent_runtime/coding_tools.py,1910,register_coding_tools,1294,1910,617
4c6d7b6,app/agent_runtime/compaction_prompt.py,112,summarize_history_text,72,112,41
4c6d7b6,app/agent_runtime/context_projection.py,79,_factor_read_result,13,42,30
4c6d7b6,app/agent_runtime/context_projection.py,79,project_context_messages,45,79,35
4c6d7b6,app/agent_runtime/effort.py,59,,,,
4c6d7b6,app/agent_runtime/errors.py,126,,,,
4c6d7b6,app/agent_runtime/hooks.py,202,HookManager.run_pre_tool_use,84,122,39
4c6d7b6,app/agent_runtime/hooks.py,202,HookManager.run_post_tool_use,124,161,38
4c6d7b6,app/agent_runtime/inbox.py,103,Inbox.put,56,78,23
4c6d7b6,app/agent_runtime/live_observer.py,206,validate_live_source,33,68,36
4c6d7b6,app/agent_runtime/live_observer.py,206,LiveObserver.observe,101,203,103
4c6d7b6,app/agent_runtime/look_tool.py,309,LookTool.__init__,82,101,20
4c6d7b6,app/agent_runtime/look_tool.py,309,LookTool.look,105,222,118
4c6d7b6,app/agent_runtime/look_tool.py,309,LookTool._anchor_box,225,247,23
4c6d7b6,app/agent_runtime/look_tool.py,309,LookTool.register,265,309,45
4c6d7b6,app/agent_runtime/loop.py,3170,_grounded_request_tokens,263,294,32
4c6d7b6,app/agent_runtime/loop.py,3170,_real_prompt_tokens,323,351,29
4c6d7b6,app/agent_runtime/loop.py,3170,_validate_loop_params,591,631,41
4c6d7b6,app/agent_runtime/loop.py,3170,_run_agent_loop_impl,642,713,72
4c6d7b6,app/agent_runtime/loop.py,3170,_withheld_recovery_plan,716,764,49
4c6d7b6,app/agent_runtime/loop.py,3170,_truncation_messages,767,807,41
4c6d7b6,app/agent_runtime/loop.py,3170,_claim_task_input,818,894,77
4c6d7b6,app/agent_runtime/loop.py,3170,_run_agent_loop,897,2114,1218
4c6d7b6,app/agent_runtime/loop.py,3170,_run_stop_hooks,2117,2147,31
4c6d7b6,app/agent_runtime/loop.py,3170,_first_messages,2160,2191,32
4c6d7b6,app/agent_runtime/loop.py,3170,validate_messages,2204,2226,23
4c6d7b6,app/agent_runtime/loop.py,3170,_restored_tool_names,2229,2252,24
4c6d7b6,app/agent_runtime/loop.py,3170,_select_tool_schemas_with_dropped,2270,2314,45
4c6d7b6,app/agent_runtime/loop.py,3170,_merge_model_usage,2339,2415,77
4c6d7b6,app/agent_runtime/loop.py,3170,_build_partial_delivery_message,2434,2464,31
4c6d7b6,app/agent_runtime/loop.py,3170,_pending_user_input,2467,2497,31
4c6d7b6,app/agent_runtime/loop.py,3170,_permission_refusal,2500,2555,56
4c6d7b6,app/agent_runtime/loop.py,3170,_execute_one,2558,2925,368
4c6d7b6,app/agent_runtime/loop.py,3170,_apply_tool_guardrail,2928,2962,35
4c6d7b6,app/agent_runtime/loop.py,3170,_normalize_result,2965,3008,44
4c6d7b6,app/agent_runtime/loop.py,3170,_record_loop_receipt,3030,3049,20
